time,lag04,lag03,lag02,lag01,lag00
5, 9.272727, 5.0625, 8.117647, 1.5625, 7.578947
6, 5.0625, 8.117647, 1.5625, 7.578947, 5.636364
7, 8.117647, 1.5625, 7.578947, 5.636364, 2.448276
8, 1.5625, 7.578947, 5.636364, 2.448276, 4.608696
9, 7.578947, 5.636364, 2.448276, 4.608696, 20.88889
10, 5.636364, 2.448276, 4.608696, 20.88889, 11.4
11, 2.448276, 4.608696, 20.88889, 11.4, 3.7
12, 4.608696, 20.88889, 11.4, 3.7, 8.833333
13, 20.88889, 11.4, 3.7, 8.833333, 9.16
14, 11.4, 3.7, 8.833333, 9.16, 1.166667
15, 3.7, 8.833333, 9.16, 1.166667, 1.9
16, 8.833333, 9.16, 1.166667, 1.9, 7
17, 9.16, 1.166667, 1.9, 7, 9.12
18, 1.166667, 1.9, 7, 9.12, 38.4
19, 1.9, 7, 9.12, 38.4, 12.13636
20, 7, 9.12, 38.4, 12.13636, 9.9375
21, 9.12, 38.4, 12.13636, 9.9375, 11.30303
22, 38.4, 12.13636, 9.9375, 11.30303, 21.0625
23, 12.13636, 9.9375, 11.30303, 21.0625, 12.15789
24, 9.9375, 11.30303, 21.0625, 12.15789, 20.69697
25, 11.30303, 21.0625, 12.15789, 20.69697, 18.44828
26, 21.0625, 12.15789, 20.69697, 18.44828, 14.21739
27, 12.15789, 20.69697, 18.44828, 14.21739, 11.11111
28, 20.69697, 18.44828, 14.21739, 11.11111, 6
29, 18.44828, 14.21739, 11.11111, 6, 11.2
30, 14.21739, 11.11111, 6, 11.2, 2.333333
31, 11.11111, 6, 11.2, 2.333333, 5.48
32, 6, 11.2, 2.333333, 5.48, 0
33, 11.2, 2.333333, 5.48, 0, 1.9
34, 2.333333, 5.48, 0, 1.9, 9
35, 5.48, 0, 1.9, 9, 7.833333
36, 0, 1.9, 9, 7.833333, 18.8
37, 1.9, 9, 7.833333, 18.8, 7.238095
38, 9, 7.833333, 18.8, 7.238095, 5.9375
39, 7.833333, 18.8, 7.238095, 5.9375, 7.970588
40, 18.8, 7.238095, 5.9375, 7.970588, 13.9375
41, 7.238095, 5.9375, 7.970588, 13.9375, 6.789474
42, 5.9375, 7.970588, 13.9375, 6.789474, 9.942857
43, 7.970588, 13.9375, 6.789474, 9.942857, 7.827586
44, 13.9375, 6.789474, 9.942857, 7.827586, 8.772727
45, 6.789474, 9.942857, 7.827586, 8.772727, 9.222222
46, 9.942857, 7.827586, 8.772727, 9.222222, 9.35
47, 7.827586, 8.772727, 9.222222, 9.35, 11.4
48, 8.772727, 9.222222, 9.35, 11.4, 4.333333
49, 9.222222, 9.35, 11.4, 4.333333, 6.36
50, 9.35, 11.4, 4.333333, 6.36, 2.5
51, 11.4, 4.333333, 6.36, 2.5, 0.5
52, 4.333333, 6.36, 2.5, 0.5, 8.333333
53, 6.36, 2.5, 0.5, 8.333333, 8.407407
54, 2.5, 0.5, 8.333333, 8.407407, 16.2
55, 0.5, 8.333333, 8.407407, 16.2, 17.35
56, 8.333333, 8.407407, 16.2, 17.35, 5.75
57, 8.407407, 16.2, 17.35, 5.75, 6.969697
58, 16.2, 17.35, 5.75, 6.969697, 7.625
59, 17.35, 5.75, 6.969697, 7.625, 6.578947
60, 5.75, 6.969697, 7.625, 6.578947, 6.529412
61, 6.969697, 7.625, 6.578947, 6.529412, 3.892857
62, 7.625, 6.578947, 6.529412, 3.892857, 5
63, 6.578947, 6.529412, 3.892857, 5, 1.888889
64, 6.529412, 3.892857, 5, 1.888889, 7.75
65, 3.892857, 5, 1.888889, 7.75, 2.157895
66, 5, 1.888889, 7.75, 2.157895, 1.666667
67, 1.888889, 7.75, 2.157895, 1.666667, 3.846154
68, 7.75, 2.157895, 1.666667, 3.846154, 2.333333
69, 2.157895, 1.666667, 3.846154, 2.333333, 6.9
70, 1.666667, 3.846154, 2.333333, 6.9, 0
71, 3.846154, 2.333333, 6.9, 0, 3.555556
72, 2.333333, 6.9, 0, 3.555556, 0
73, 6.9, 0, 3.555556, 0, 4.684211
74, 0, 3.555556, 0, 4.684211, 1.538462
75, 3.555556, 0, 4.684211, 1.538462, 0.7096774
76, 0, 4.684211, 1.538462, 0.7096774, 0.6111111
77, 4.684211, 1.538462, 0.7096774, 0.6111111, 6.529412
78, 1.538462, 0.7096774, 0.6111111, 6.529412, 11.9697
79, 0.7096774, 0.6111111, 6.529412, 11.9697, 12.53846
80, 0.6111111, 6.529412, 11.9697, 12.53846, 1.333333
81, 6.529412, 11.9697, 12.53846, 1.333333, 9.285714
82, 11.9697, 12.53846, 1.333333, 9.285714, 9.17647
83, 12.53846, 1.333333, 9.285714, 9.17647, 2.315789
84, 1.333333, 9.285714, 9.17647, 2.315789, 2.5
