,lag04,lag03,lag02,lag01,lag00
0,9.272727,5.0625,8.117647,1.5625,7.578947
1,5.0625,8.117647,1.5625,7.578947,5.636364
2,8.117647,1.5625,7.578947,5.636364,2.448276
3,1.5625,7.578947,5.636364,2.448276,4.608696
4,7.578947,5.636364,2.448276,4.608696,20.88889
5,5.636364,2.448276,4.608696,20.88889,11.4
6,2.448276,4.608696,20.88889,11.4,3.7
7,4.608696,20.88889,11.4,3.7,8.833333
8,20.88889,11.4,3.7,8.833333,9.16
9,11.4,3.7,8.833333,9.16,1.166667
10,3.7,8.833333,9.16,1.166667,1.9
11,8.833333,9.16,1.166667,1.9,7.0
12,9.16,1.166667,1.9,7.0,9.12
13,1.166667,1.9,7.0,9.12,38.4
14,1.9,7.0,9.12,38.4,12.13636
15,7.0,9.12,38.4,12.13636,9.9375
16,9.12,38.4,12.13636,9.9375,11.30303
17,38.4,12.13636,9.9375,11.30303,21.0625
18,12.13636,9.9375,11.30303,21.0625,12.15789
19,9.9375,11.30303,21.0625,12.15789,20.69697
20,11.30303,21.0625,12.15789,20.69697,18.44828
21,21.0625,12.15789,20.69697,18.44828,14.21739
22,12.15789,20.69697,18.44828,14.21739,11.11111
23,20.69697,18.44828,14.21739,11.11111,6.0
24,18.44828,14.21739,11.11111,6.0,11.2
25,14.21739,11.11111,6.0,11.2,2.333333
26,11.11111,6.0,11.2,2.333333,5.48
27,6.0,11.2,2.333333,5.48,0.0
28,11.2,2.333333,5.48,0.0,1.9
29,2.333333,5.48,0.0,1.9,9.0
30,5.48,0.0,1.9,9.0,7.8333330000000005
31,0.0,1.9,9.0,7.8333330000000005,18.8
32,1.9,9.0,7.8333330000000005,18.8,7.2380949999999995
33,9.0,7.8333330000000005,18.8,7.2380949999999995,5.9375
34,7.8333330000000005,18.8,7.2380949999999995,5.9375,7.970588
35,18.8,7.2380949999999995,5.9375,7.970588,13.9375
36,7.2380949999999995,5.9375,7.970588,13.9375,6.789474
37,5.9375,7.970588,13.9375,6.789474,9.942857
38,7.970588,13.9375,6.789474,9.942857,7.827586
39,13.9375,6.789474,9.942857,7.827586,8.772727
40,6.789474,9.942857,7.827586,8.772727,9.222222
41,9.942857,7.827586,8.772727,9.222222,9.35
42,7.827586,8.772727,9.222222,9.35,11.4
43,8.772727,9.222222,9.35,11.4,4.3333330000000005
44,9.222222,9.35,11.4,4.3333330000000005,6.36
45,9.35,11.4,4.3333330000000005,6.36,2.5
46,11.4,4.3333330000000005,6.36,2.5,0.5
47,4.3333330000000005,6.36,2.5,0.5,8.333333
48,6.36,2.5,0.5,8.333333,8.407407000000001
49,2.5,0.5,8.333333,8.407407000000001,16.2
50,0.5,8.333333,8.407407000000001,16.2,17.35
51,8.333333,8.407407000000001,16.2,17.35,5.75
52,8.407407000000001,16.2,17.35,5.75,6.969697
53,16.2,17.35,5.75,6.969697,7.625
54,17.35,5.75,6.969697,7.625,6.578947
55,5.75,6.969697,7.625,6.578947,6.529412000000001
56,6.969697,7.625,6.578947,6.529412000000001,3.892857
57,7.625,6.578947,6.529412000000001,3.892857,5.0
58,6.578947,6.529412000000001,3.892857,5.0,1.888889
59,6.529412000000001,3.892857,5.0,1.888889,7.75
60,3.892857,5.0,1.888889,7.75,2.157895
61,5.0,1.888889,7.75,2.157895,1.666667
62,1.888889,7.75,2.157895,1.666667,3.8461540000000003
63,7.75,2.157895,1.666667,3.8461540000000003,2.333333
64,2.157895,1.666667,3.8461540000000003,2.333333,6.9
65,1.666667,3.8461540000000003,2.333333,6.9,0.0
66,3.8461540000000003,2.333333,6.9,0.0,3.5555559999999997
67,2.333333,6.9,0.0,3.5555559999999997,0.0
68,6.9,0.0,3.5555559999999997,0.0,4.684211
69,0.0,3.5555559999999997,0.0,4.684211,1.538462
70,3.5555559999999997,0.0,4.684211,1.538462,0.7096774
71,0.0,4.684211,1.538462,0.7096774,0.6111111
72,4.684211,1.538462,0.7096774,0.6111111,6.529412000000001
73,1.538462,0.7096774,0.6111111,6.529412000000001,11.9697
74,0.7096774,0.6111111,6.529412000000001,11.9697,12.53846
75,0.6111111,6.529412000000001,11.9697,12.53846,1.333333
76,6.529412000000001,11.9697,12.53846,1.333333,9.285714
77,11.9697,12.53846,1.333333,9.285714,9.17647
78,12.53846,1.333333,9.285714,9.17647,2.315789
79,1.333333,9.285714,9.17647,2.315789,2.5
80,9.285714,9.17647,2.315789,2.5,5.909091
81,9.17647,2.315789,2.5,5.909091,0.0
82,2.315789,2.5,5.909091,0.0,0.75
83,2.5,5.909091,0.0,0.75,0.0
84,5.909091,0.0,0.75,0.0,0.64
85,0.0,0.75,0.0,0.64,1.333333
86,0.75,0.0,0.64,1.333333,3.2105259999999998
87,0.0,0.64,1.333333,3.2105259999999998,4.307691999999999
88,0.64,1.333333,3.2105259999999998,4.307691999999999,1.5625
89,1.333333,3.2105259999999998,4.307691999999999,1.5625,3.6470589999999996
90,3.2105259999999998,4.307691999999999,1.5625,3.6470589999999996,5.3125
91,4.307691999999999,1.5625,3.6470589999999996,5.3125,5.96875
92,1.5625,3.6470589999999996,5.3125,5.96875,1.9333330000000002
93,3.6470589999999996,5.3125,5.96875,1.9333330000000002,4.590909
94,5.3125,5.96875,1.9333330000000002,4.590909,0.2222222
95,5.96875,1.9333330000000002,4.590909,0.2222222,3.9047620000000003
96,1.9333330000000002,4.590909,0.2222222,3.9047620000000003,2.7368419999999998
97,4.590909,0.2222222,3.9047620000000003,2.7368419999999998,16.0
